customer_segment,total_bookings,occupancy_rate,cancellation_rate,adr,revenue_lost
Direct,12582,84.62883484342711,15.371165156572882,115.63459545382293,993409.8200000001
Corporate,5282,81.23816736084817,18.761832639151837,69.52833207118516,196383.07
Online TA,56408,63.24102964118564,36.75897035881435,117.31802244362501,10227646.11
Offline TA/TO,24182,65.66867918286329,34.331320817136714,87.47930692250435,2492358.15
Other,965,85.18134715025907,14.818652849740932,26.847927461139896,16895.989999999998
Groups,19791,38.89141528977818,61.10858471022181,79.55962002930625,2800543.98
